,search-number,evaluation,memory*,nchpercent*,trustindexmean*,initialexperience*,carepatchmean*,carefarmermean*,careothersmean*,fitness,num-replicates,best-fitness-so-far
330,3,450,27,0.26,0.04,7.9,0.41,0.07,0.97,0.1176750441879176,10,0.4298244673866797
331,3,460,18,0.47,0.34,8.7,0.79,0.47,0.29,0.2710963372367407,10,0.4298244673866797
332,3,470,14,0.61,0.01,6.9,0.79,0.67,0.37,0.114950892933924,10,0.4298244673866797
333,3,480,18,0.06,0.55,8.5,0.55,0.04,0.71,0.3909511672647294,10,0.4298244673866797
334,3,490,30,0.94,0.11,6.2,0.06,0.0,0.17,0.1227061177244805,10,0.4298244673866797
335,3,500,5,0.8200000000000001,0.9,6.4,0.14,0.86,0.75,0.2216291394052139,10,0.4298244673866797
336,3,510,18,0.06,0.61,8.0,0.71,0.79,0.81,0.4076654131913946,10,0.4298244673866797
337,3,520,18,0.62,0.55,8.5,0.55,0.04,0.71,0.4243396788587554,10,0.4298244673866797
338,3,530,29,0.8,0.75,9.7,0.16,0.38,0.58,0.3906188917027967,10,0.4298244673866797
339,3,540,23,0.47,0.3,7.0,0.23,0.38,0.58,0.2717356077575202,10,0.4298244673866797
340,3,550,29,0.79,0.75,9.7,0.97,0.01,0.01,0.4013034520930971,10,0.4298244673866797
341,3,560,17,0.71,0.59,9.8,0.06,0.2,0.25,0.3832178925541625,10,0.4298244673866797
342,3,570,23,0.67,0.64,5.8,0.04,0.04,0.92,0.4062110500056085,10,0.4298244673866797
343,3,580,19,0.62,0.26,9.3,0.67,0.41,0.94,0.2358802627361794,10,0.4298244673866797
344,3,590,24,0.75,0.64,6.6,0.88,0.38,0.23,0.423642961491652,10,0.4298244673866797
345,3,600,17,0.55,0.6900000000000001,8.2,0.28,0.8,0.34,0.3546407525267787,10,0.4298244673866797
346,3,610,17,0.78,0.52,7.0,0.6,0.95,0.35,0.4082005260084146,10,0.4298244673866797
347,3,620,23,0.55,0.94,5.3,0.86,0.01,0.37,0.2354626716682427,10,0.4298244673866797
348,3,630,24,0.47,0.3,6.9,1.0,0.01,0.01,0.284565717624295,10,0.4298244673866797
349,3,640,6,0.66,0.37,8.4,0.52,0.61,0.9,0.3148622007533465,10,0.4298244673866797
350,3,650,23,0.93,0.6,9.0,0.44,0.74,0.01,0.3885490240948724,10,0.4298244673866797
351,3,660,21,0.99,0.87,7.4,0.15,0.09,0.44,0.2469256566028341,10,0.4298244673866797
352,3,670,20,0.71,0.75,7.300000000000001,0.8,0.64,0.02,0.3705877718844544,10,0.4298244673866797
